Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 1536 (cps)(1) channel 1,11/12/2021 18:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,US LUM 1536 (cps),0,4,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 1536 (cps)(1) channel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
A,1080,1280,1120,1120,1280,960,1080,1120,1080,1200,1240,1000,1360,1000,960,1120,1120,920,1040,640,880,1000,880,880,840,920,880,920,1080,1000,2200,1160,1120,960,1120,1040,1080,800,1160,1120,1000,1080,880,960,960,15600,319320,1360
B,1160,1160,1240,1040,1080,1160,1160,1240,1040,1200,920,1000,1120,1080,1040,1200,920,1000,800,1040,1120,1600,1040,1000,1200,1040,1160,960,1120,1120,1440,1040,1320,1000,1160,1200,1160,1000,1360,1200,1200,1200,960,1200,1120,28640,302720,2080
C,1000,1120,1280,920,1240,1040,1160,1160,1240,1040,1120,1080,1000,880,1120,1280,1080,1080,920,1040,960,680,1080,960,1000,1040,960,1280,960,1040,1040,1040,1240,1120,1360,1240,1160,1240,1200,1040,1040,1120,1000,1200,1000,14440,310960,1800
D,1280,1280,1200,1240,1000,1280,1240,880,1080,1200,1000,1200,1080,1080,1440,1120,1040,960,920,1120,1160,1040,1120,1040,800,880,1120,1160,1000,1080,1080,1240,4800,1840,1320,1200,1240,1160,1320,960,1200,1120,1120,1240,1360,14600,286640,1480
E,920,1360,1440,800,1520,1080,1000,1080,1160,1280,1160,1160,960,1160,920,1160,1000,1000,1000,1000,960,1040,880,1240,1160,1280,1040,1240,1040,1240,920,1040,1240,1000,1320,960,1000,1080,1120,1120,1320,1080,800,1440,1160,13440,278960,1520
F,1480,1360,1080,1160,1440,1120,1080,1280,1120,1080,1000,1440,1200,960,1040,1040,1080,1320,1160,920,1080,1120,1240,920,1240,1200,1240,1200,1120,800,920,1240,1280,1200,1480,1040,1120,1080,960,1320,1440,960,800,1360,1360,14720,283080,1520
G,1040,1200,1320,1320,1080,1240,1200,1200,1160,1000,1160,960,1280,1120,1200,1200,1360,1040,1360,960,1040,1080,1160,800,1080,1080,1040,960,960,1200,1080,1280,1000,1040,1120,1080,1120,1080,920,1240,1320,1600,840,1280,1080,14560,301680,1520
H,1200,1080,960,1080,1480,1080,1320,800,960,1000,1280,1160,720,1080,880,920,1400,1000,960,920,1000,920,1120,1080,1000,1240,1120,1040,1160,1320,920,1040,1040,1080,1080,1160,1280,1320,1280,1160,1240,1320,800,1200,1080,16600,272560,1640
I,1200,1360,1040,1240,1280,1280,800,1040,1560,1120,1480,1160,1120,1480,1200,1240,1160,1320,1200,1200,1040,1040,1400,1280,1240,1200,1080,1320,1520,1200,1320,1360,1040,1160,1160,1480,1240,1560,1320,1240,1200,1040,1040,1440,1200,17400,284600,1480
J,1360,1880,1240,1120,1120,1400,1200,1200,1120,1280,1200,1160,1160,1160,1440,1400,1080,1400,1120,1400,1200,1320,1280,1120,2280,1200,1200,1200,1240,1000,1120,1240,1320,1360,1200,1040,1160,1160,1040,1080,1240,1400,880,1200,1440,18480,301360,1880
